Date,Close,Open
2001-05-10,35.939998626708984,36.0099983215332
2001-05-11,35.4900016784668,36.040000915527344
2001-05-14,36.11000061035156,35.5
2001-05-15,35.54999923706055,36.09000015258789
2001-05-16,36.150001525878906,35.529998779296875
2001-05-17,36.29999923706055,36.13999938964844
2001-05-18,35.779998779296875,36.33000183105469
2001-05-21,37.029998779296875,35.88999938964844
2001-05-22,37.88999938964844,37.150001525878906
2001-05-23,36.849998474121094,37.86000061035156
2001-05-24,37.79999923706055,36.959999084472656
2001-05-25,37.599998474121094,37.86000061035156
2001-05-29,36.779998779296875,37.689998626708984
2001-05-30,37.290000915527344,36.349998474121094
2001-05-31,38.90999984741211,37.099998474121094
2001-06-01,38.779998779296875,39.209999084472656
2001-06-04,38.4900016784668,38.95000076293945
2001-06-05,39.75,38.54999923706055
2001-06-06,39.5,39.79999923706055
2001-06-07,41.0,39.38999938964844
2001-06-08,40.38999938964844,40.93000030517578
2001-06-11,39.77000045776367,40.34000015258789
2001-06-12,40.43000030517578,39.630001068115234
2001-06-13,40.4900016784668,40.380001068115234
2001-06-14,40.41999816894531,40.400001525878906
2001-06-15,40.5,40.43000030517578
2001-06-18,42.08000183105469,40.68000030517578
2001-06-19,42.45000076293945,42.369998931884766
2001-06-20,42.61000061035156,42.45000076293945
2001-06-21,43.619998931884766,42.61000061035156
2001-06-22,41.91999816894531,43.31999969482422
2001-06-25,41.95000076293945,42.02000045776367
2001-06-26,40.34000015258789,41.40999984741211
2001-06-27,39.72999954223633,40.400001525878906
2001-06-28,42.11000061035156,39.95000076293945
2001-06-29,41.08000183105469,41.79999923706055
2001-07-02,42.34000015258789,41.2599983215332
2001-07-03,42.13999938964844,42.16999816894531
2001-07-05,41.29999923706055,41.70000076293945
2001-07-06,40.40999984741211,41.290000915527344
2001-07-09,41.959999084472656,40.400001525878906
2001-07-10,41.689998626708984,41.68000030517578
2001-07-11,42.189998626708984,41.56999969482422
2001-07-12,43.130001068115234,42.5099983215332
2001-07-13,43.099998474121094,43.099998474121094
2001-07-16,44.5,43.13999938964844
2001-07-17,44.20000076293945,44.29999923706055
2001-07-18,43.630001068115234,44.08000183105469
2001-07-19,43.970001220703125,43.83000183105469
2001-07-20,44.34000015258789,43.90999984741211
2001-07-23,43.720001220703125,44.130001068115234
2001-07-24,42.02000045776367,43.529998779296875
2001-07-25,41.810001373291016,42.130001068115234
2001-07-26,42.20000076293945,41.810001373291016
2001-07-27,41.380001068115234,41.95000076293945
2001-07-30,42.08000183105469,41.7400016784668
2001-07-31,43.04999923706055,42.29999923706055
2001-08-01,42.25,43.18000030517578
2001-08-02,43.400001525878906,42.650001525878906
2001-08-03,43.0099983215332,43.4900016784668
2001-08-06,41.630001068115234,43.04999923706055
2001-08-07,42.15999984741211,41.619998931884766
2001-08-08,42.16999816894531,42.099998474121094
2001-08-09,40.90999984741211,41.349998474121094
2001-08-10,39.97999954223633,40.779998779296875
2001-08-13,40.70000076293945,40.02000045776367
2001-08-14,41.02000045776367,40.599998474121094
2001-08-15,39.70000076293945,41.06999969482422
2001-08-16,40.38999938964844,39.099998474121094
2001-08-17,39.40999984741211,40.0
2001-08-20,40.22999954223633,39.36000061035156
2001-08-21,38.689998626708984,40.58000183105469
2001-08-22,38.869998931884766,38.95000076293945
2001-08-23,38.599998474121094,38.88999938964844
2001-08-24,39.18000030517578,38.709999084472656
2001-08-27,39.459999084472656,39.099998474121094
2001-08-28,39.720001220703125,39.81999969482422
2001-08-29,38.84000015258789,39.79999923706055
2001-08-30,37.88999938964844,38.70000076293945
2001-08-31,37.40999984741211,37.59000015258789
2001-09-04,37.65999984741211,37.54999923706055
2001-09-05,37.209999084472656,37.900001525878906
2001-09-06,35.02000045776367,36.5
2001-09-07,33.959999084472656,34.599998474121094
2001-09-10,34.16999816894531,33.599998474121094
2001-09-17,32.150001525878906,32.7599983215332
2001-09-18,32.29999923706055,32.279998779296875
2001-09-19,31.809999465942383,32.470001220703125
2001-09-20,31.530000686645508,31.510000228881836
2001-09-21,31.219999313354492,29.950000762939453
2001-09-24,33.5,31.700000762939453
2001-09-25,33.5099983215332,33.5
2001-09-26,33.66999816894531,33.900001525878906
2001-09-27,33.65999984741211,33.63999938964844
2001-09-28,35.560001373291016,33.650001525878906
2001-10-01,35.25,35.279998779296875
2001-10-02,35.4900016784668,35.20000076293945
2001-10-03,36.41999816894531,35.349998474121094
2001-10-04,35.220001220703125,36.58000183105469
2001-10-05,35.369998931884766,35.11000061035156
2001-10-08,34.040000915527344,35.04999923706055
2001-10-09,33.540000915527344,34.27000045776367
2001-10-10,35.75,33.650001525878906
2001-10-11,38.2400016784668,37.25
2001-10-12,38.36000061035156,37.709999084472656
2001-10-15,38.09000015258789,37.9900016784668
2001-10-16,39.18000030517578,38.4900016784668
2001-10-17,38.0099983215332,39.310001373291016
2001-10-18,37.900001525878906,37.939998626708984
2001-10-19,39.060001373291016,37.79999923706055
2001-10-22,39.0099983215332,38.599998474121094
2001-10-23,39.380001068115234,39.15999984741211
2001-10-24,39.7599983215332,39.4900016784668
2001-10-25,40.20000076293945,39.0099983215332
2001-10-26,40.52000045776367,39.79999923706055
2001-10-29,38.459999084472656,39.9900016784668
2001-10-30,37.529998779296875,38.16999816894531
2001-10-31,37.83000183105469,37.650001525878906
2001-11-01,39.41999816894531,38.0
2001-11-02,40.20000076293945,39.380001068115234
2001-11-05,41.06999969482422,40.400001525878906
2001-11-06,41.79999923706055,40.81999969482422
2001-11-07,41.369998931884766,41.68000030517578
2001-11-08,42.65999984741211,42.08000183105469
2001-11-09,43.04999923706055,42.369998931884766
2001-11-12,42.40999984741211,42.70000076293945
2001-11-13,43.06999969482422,42.9900016784668
2001-11-14,43.119998931884766,43.22999954223633
2001-11-15,42.59000015258789,43.0
2001-11-16,42.130001068115234,42.939998626708984
2001-11-19,42.90999984741211,42.380001068115234
2001-11-20,41.79999923706055,42.40999984741211
2001-11-21,40.880001068115234,41.650001525878906
2001-11-23,42.130001068115234,40.880001068115234
2001-11-26,42.84000015258789,42.36000061035156
2001-11-27,42.65999984741211,42.689998626708984
2001-11-28,40.86000061035156,42.4900016784668
2001-11-29,41.2599983215332,41.029998779296875
2001-11-30,40.880001068115234,41.150001525878906
2001-12-03,40.220001220703125,40.650001525878906
2001-12-04,40.97999954223633,40.52000045776367
2001-12-05,43.47999954223633,41.33000183105469
2001-12-06,42.470001220703125,43.119998931884766
2001-12-07,43.08000183105469,42.4900016784668
2001-12-10,42.38999938964844,42.9900016784668
2001-12-11,41.33000183105469,42.560001373291016
2001-12-12,40.75,41.290000915527344
2001-12-13,41.58000183105469,40.86000061035156
2001-12-14,42.27000045776367,41.81999969482422
2001-12-17,42.5,42.310001373291016
2001-12-18,43.33000183105469,42.65999984741211
2001-12-19,43.310001373291016,43.36000061035156
2001-12-20,43.5099983215332,43.29999923706055
2001-12-21,43.599998474121094,43.5099983215332
2001-12-24,44.06999969482422,43.54999923706055
2001-12-26,44.0099983215332,44.15999984741211
2001-12-27,44.150001525878906,44.04999923706055
2001-12-28,45.189998626708984,44.22999954223633
2001-12-31,44.380001068115234,45.0099983215332
2002-01-02,44.45000076293945,44.20000076293945
2002-01-03,44.84000015258789,44.36000061035156
2002-01-04,44.790000915527344,44.900001525878906
2002-01-07,44.119998931884766,44.540000915527344
2002-01-08,44.41999816894531,44.13999938964844
2002-01-09,44.150001525878906,44.45000076293945
2002-01-10,44.70000076293945,44.54999923706055
2002-01-11,43.689998626708984,44.70000076293945
2002-01-14,43.09000015258789,43.4900016784668
2002-01-15,42.84000015258789,43.20000076293945
2002-01-16,41.97999954223633,42.810001373291016
2002-01-17,43.349998474121094,42.09000015258789
2002-01-18,42.93000030517578,42.7599983215332
2002-01-22,43.47999954223633,43.099998474121094
2002-01-23,44.65999984741211,43.5
2002-01-24,44.25,44.5
2002-01-25,44.20000076293945,44.290000915527344
2002-01-28,44.0,44.33000183105469
2002-01-29,43.56999969482422,44.130001068115234
2002-01-30,45.599998474121094,43.599998474121094
2002-01-31,46.0,45.650001525878906
2002-02-01,45.2599983215332,45.68000030517578
2002-02-04,44.849998474121094,45.20000076293945
2002-02-05,45.06999969482422,44.84000015258789
2002-02-06,44.75,45.0
2002-02-07,44.13999938964844,44.90999984741211
2002-02-08,44.08000183105469,44.0099983215332
2002-02-11,44.97999954223633,43.959999084472656
2002-02-12,44.45000076293945,44.61000061035156
2002-02-13,45.45000076293945,44.43000030517578
2002-02-14,46.31999969482422,45.31999969482422
2002-02-15,45.88999938964844,46.36000061035156
2002-02-19,45.22999954223633,45.45000076293945
2002-02-20,45.86000061035156,45.29999923706055
2002-02-21,45.90999984741211,45.880001068115234
2002-02-22,45.22999954223633,45.810001373291016
2002-02-25,44.400001525878906,45.22999954223633
2002-02-26,43.470001220703125,44.5
2002-02-27,42.189998626708984,43.7400016784668
2002-02-28,41.2599983215332,42.38999938964844
2002-03-01,40.900001525878906,41.31999969482422
2002-03-04,40.9900016784668,41.209999084472656
2002-03-05,39.040000915527344,41.45000076293945
2002-03-06,38.91999816894531,39.09000015258789
2002-03-07,39.880001068115234,39.310001373291016
2002-03-08,39.90999984741211,40.529998779296875
2002-03-11,40.77000045776367,40.20000076293945
2002-03-12,41.45000076293945,40.83000183105469
2002-03-13,41.91999816894531,41.36000061035156
2002-03-14,41.31999969482422,41.779998779296875
2002-03-15,42.150001525878906,41.70000076293945
2002-03-18,42.209999084472656,42.45000076293945
2002-03-19,42.2599983215332,42.31999969482422
2002-03-20,41.77000045776367,42.06999969482422
2002-03-21,40.9900016784668,41.560001373291016
2002-03-22,40.5,40.900001525878906
2002-03-25,39.849998474121094,40.5
2002-03-26,40.13999938964844,39.779998779296875
2002-03-27,40.099998474121094,40.16999816894531
2002-03-28,39.81999969482422,40.29999923706055
2002-04-01,39.650001525878906,39.470001220703125
2002-04-02,38.790000915527344,39.54999923706055
2002-04-03,38.900001525878906,38.88999938964844
2002-04-04,39.470001220703125,39.0
2002-04-05,39.25,39.650001525878906
2002-04-08,40.40999984741211,39.11000061035156
2002-04-09,40.7599983215332,40.380001068115234
2002-04-10,42.06999969482422,40.86000061035156
2002-04-11,41.86000061035156,42.0099983215332
2002-04-12,41.849998474121094,41.90999984741211
2002-04-15,42.0,42.11000061035156
2002-04-16,43.0,42.22999954223633
2002-04-17,42.540000915527344,42.79999923706055
2002-04-18,42.7599983215332,42.43000030517578
2002-04-19,42.459999084472656,42.900001525878906
2002-04-22,41.36000061035156,42.25
2002-04-23,40.47999954223633,41.25
2002-04-24,39.400001525878906,40.790000915527344
2002-04-25,40.150001525878906,39.27000045776367
2002-04-26,39.91999816894531,40.18000030517578
2002-04-29,39.790000915527344,39.9900016784668
2002-04-30,40.20000076293945,39.599998474121094
2002-05-01,40.27000045776367,40.0099983215332
2002-05-02,40.630001068115234,40.209999084472656
2002-05-03,40.369998931884766,40.4900016784668
2002-05-06,40.209999084472656,40.29999923706055
2002-05-07,40.56999969482422,40.599998474121094
2002-05-08,41.75,40.95000076293945
2002-05-09,41.0099983215332,41.75
2002-05-10,40.29999923706055,41.189998626708984
2002-05-13,40.0,40.5
2002-05-14,40.66999816894531,40.7400016784668
2002-05-15,41.130001068115234,40.599998474121094
2002-05-16,41.529998779296875,41.06999969482422
2002-05-17,41.349998474121094,41.13999938964844
2002-05-20,40.939998626708984,41.31999969482422
2002-05-21,39.7599983215332,41.099998474121094
2002-05-22,39.290000915527344,39.75
2002-05-23,39.790000915527344,39.45000076293945
2002-05-24,38.90999984741211,39.619998931884766
2002-05-28,38.459999084472656,39.13999938964844
2002-05-29,38.459999084472656,38.400001525878906
2002-05-30,39.31999969482422,38.95000076293945
2002-05-31,39.27000045776367,39.220001220703125
2002-06-03,38.72999954223633,39.290000915527344
2002-06-04,38.91999816894531,38.84000015258789
2002-06-05,39.66999816894531,38.9900016784668
2002-06-06,39.36000061035156,39.75
2002-06-07,39.400001525878906,39.15999984741211
2002-06-10,40.130001068115234,39.439998626708984
2002-06-11,39.650001525878906,40.290000915527344
2002-06-12,40.72999954223633,39.66999816894531
2002-06-13,39.79999923706055,40.290000915527344
2002-06-14,39.779998779296875,39.560001373291016
2002-06-17,40.689998626708984,39.81999969482422
2002-06-18,40.75,40.15999984741211
2002-06-19,40.95000076293945,40.59000015258789
2002-06-20,40.0,40.630001068115234
2002-06-21,39.58000183105469,39.68000030517578
2002-06-24,38.599998474121094,39.25
2002-06-25,37.779998779296875,38.90999984741211
2002-06-26,37.59000015258789,36.9900016784668
2002-06-27,38.59000015258789,37.66999816894531
2002-06-28,38.619998931884766,38.33000183105469
2002-07-01,37.77000045776367,38.529998779296875
2002-07-02,36.52000045776367,37.5099983215332
2002-07-03,37.79999923706055,36.40999984741211
2002-07-05,39.29999923706055,38.150001525878906
2002-07-08,38.54999923706055,39.04999923706055
2002-07-09,37.2599983215332,38.70000076293945
